xi, eta, zeta, a, b, c, particle index (in cuboids)
41.67628298, 35.5805724, 10.45571389, 7.028436944, 8.032499365, 7.028436944, 1
51.71690719, 29.55619787, 7.443526629, 3.012187262, 10.04062421, 4.016249682, 1
30.63159635, 38.59275966, 8.44758905, 4.016249682, 5.020312103, 5.020312103, 1
44.68847024, 24.53588577, 9.45165147, 4.016249682, 3.012187262, 8.032499365, 1
38.66409572, 36.58463482, 2.423214526, 6.024374524, 9.036561785, 1.004062421, 1
37.6600333, 44.61713418, 7.443526629, 9.036561785, 1.004062421, 4.016249682, 1
56.73721929, 30.56026029, 6.439464209, 2.008124841, 5.020312103, 3.012187262, 1
41.67628298, 34.57650997, 18.48821326, 3.012187262, 9.036561785, 1.004062421, 1
38.66409572, 24.53588577, 13.46790115, 2.008124841, 3.012187262, 4.016249682, 1
46.69659508, 19.51557367, 14.47196357, 4.016249682, 2.008124841, 3.012187262, 1
48.70471992, 32.56838513, 2.423214526, 4.016249682, 5.020312103, 1.004062421, 1
50.71284477, 31.56432271, 12.46383873, 2.008124841, 10.04062421, 1.004062421, 1
32.6397212, 30.56026029, 12.46383873, 2.008124841, 3.012187262, 3.012187262, 1
36.65597088, 46.62525902, 4.431339368, 6.024374524, 1.004062421, 3.012187262, 1
36.65597088, 35.5805724, 0.415089685, 4.016249682, 4.016249682, 1.004062421, 1
37.6600333, 44.61713418, 14.47196357, 5.020312103, 1.004062421, 3.012187262, 1
57.74128171, 34.57650997, 10.45571389, 3.012187262, 5.020312103, 1.004062421, 1
32.6397212, 40.6008845, 15.47602599, 2.008124841, 3.012187262, 2.008124841, 1
45.69253266, 20.51963609, 7.443526629, 3.012187262, 1.004062421, 4.016249682, 1
49.70878235, 18.51151125, 7.443526629, 3.012187262, 1.004062421, 4.016249682, 1
30.63159635, 38.59275966, 2.423214526, 2.008124841, 5.020312103, 1.004062421, 1
36.65597088, 38.59275966, 18.48821326, 2.008124841, 5.020312103, 1.004062421, 1
25.61128425, 36.58463482, 16.48008841, 3.012187262, 1.004062421, 3.012187262, 1
31.63565877, 32.56838513, 6.439464209, 3.012187262, 1.004062421, 3.012187262, 1
49.70878235, 30.56026029, 14.47196357, 1.004062421, 9.036561785, 1.004062421, 1
51.71690719, 24.53588577, 2.423214526, 3.012187262, 3.012187262, 1.004062421, 1
34.64784604, 25.53994819, 11.45977631, 2.008124841, 2.008124841, 2.008124841, 1
39.66815814, 25.53994819, 5.435401788, 1.004062421, 2.008124841, 4.016249682, 1
55.73315687, 23.53182335, 9.45165147, 1.004062421, 2.008124841, 4.016249682, 1
59.74940655, 31.56432271, 7.443526629, 1.004062421, 4.016249682, 2.008124841, 1
25.61128425, 37.58869724, 10.45571389, 1.004062421, 2.008124841, 3.012187262, 1
40.67222056, 20.51963609, 12.46383873, 2.008124841, 1.004062421, 3.012187262, 1
50.71284477, 40.6008845, 8.44758905, 2.008124841, 1.004062421, 3.012187262, 1
45.69253266, 24.53588577, 18.48821326, 1.004062421, 5.020312103, 1.004062421, 1
29.62753393, 31.56432271, 11.45977631, 1.004062421, 2.008124841, 2.008124841, 1
33.64378362, 35.5805724, 15.47602599, 1.004062421, 2.008124841, 2.008124841, 1
32.6397212, 43.61307176, 0.415089685, 2.008124841, 2.008124841, 1.004062421, 1
34.64784604, 46.62525902, 8.44758905, 4.016249682, 1.004062421, 1.004062421, 1
38.66409572, 39.59682208, 20.4963381, 2.008124841, 2.008124841, 1.004062421, 1
42.6803454, 36.58463482, 20.4963381, 4.016249682, 1.004062421, 1.004062421, 1
45.69253266, 37.58869724, 18.48821326, 1.004062421, 4.016249682, 1.004062421, 1
48.70471992, 20.51963609, 2.423214526, 4.016249682, 1.004062421, 1.004062421, 1
51.71690719, 19.51557367, 13.46790115, 1.004062421, 2.008124841, 2.008124841, 1
53.72503203, 21.52369851, 12.46383873, 1.004062421, 4.016249682, 1.004062421, 1
54.72909445, 29.55619787, 2.423214526, 2.008124841, 2.008124841, 1.004062421, 1
54.72909445, 35.5805724, 12.46383873, 2.008124841, 2.008124841, 1.004062421, 1
55.73315687, 37.58869724, 7.443526629, 1.004062421, 2.008124841, 2.008124841, 1
61.75753139, 35.5805724, 9.45165147, 1.004062421, 2.008124841, 2.008124841, 1
23.60315941, 34.57650997, 16.48008841, 3.012187262, 1.004062421, 1.004062421, 1
25.61128425, 38.59275966, 18.48821326, 3.012187262, 1.004062421, 1.004062421, 1
29.62753393, 38.59275966, 14.47196357, 1.004062421, 3.012187262, 1.004062421, 1
33.64378362, 30.56026029, 6.439464209, 1.004062421, 1.004062421, 3.012187262, 1
37.6600333, 42.60900934, 0.415089685, 1.004062421, 3.012187262, 1.004062421, 1
35.65190846, 48.63338386, 4.431339368, 3.012187262, 1.004062421, 1.004062421, 1
37.6600333, 30.56026029, 0.415089685, 3.012187262, 1.004062421, 1.004062421, 1
21.59503457, 36.58463482, 15.47602599, 1.004062421, 1.004062421, 2.008124841, 1
25.61128425, 40.6008845, 9.45165147, 1.004062421, 1.004062421, 2.008124841, 1
26.61534667, 34.57650997, 18.48821326, 2.008124841, 1.004062421, 1.004062421, 1
31.63565877, 26.54401061, 11.45977631, 1.004062421, 1.004062421, 2.008124841, 1
31.63565877, 35.5805724, 14.47196357, 1.004062421, 2.008124841, 1.004062421, 1
33.64378362, 41.60494692, 18.48821326, 1.004062421, 2.008124841, 1.004062421, 1
