xi, eta, zeta, a, b, c, particle index (in cuboids)
43.55613199, 13.11753374, 1.720867761, 1.930674492, 4.826686229, 0.965337246, 1
39.69478301, 9.256184759, 1.720867761, 1.930674492, 2.896011737, 0.965337246, 1
42.59079475, 12.1521965, 3.651542252, 0.965337246, 3.861348983, 0.965337246, 1
44.52146924, 15.04820823, 3.651542252, 0.965337246, 2.896011737, 0.965337246, 1
38.72944576, 5.394835776, 3.651542252, 0.965337246, 0.965337246, 0.965337246, 1
40.66012025, 3.464161285, 3.651542252, 0.965337246, 0.965337246, 0.965337246, 1
40.66012025, 11.18685925, 3.651542252, 0.965337246, 0.965337246, 0.965337246, 1
40.66012025, 13.11753374, 1.720867761, 0.965337246, 0.965337246, 0.965337246, 1
42.59079475, 7.325510268, 1.720867761, 0.965337246, 0.965337246, 0.965337246, 1
44.52146924, 18.90955722, 1.720867761, 0.965337246, 0.965337246, 0.965337246, 1
46.45214373, 16.97888273, 3.651542252, 0.965337246, 0.965337246, 0.965337246, 1
159.2168513, 31.79360482, 7.074339762, 3.986291215, 7.972582431, 4.982864019, 2
157.2237056, 20.83130397, 5.081194155, 5.979436823, 2.989718412, 2.989718412, 2
165.1962881, 29.80045921, 5.081194155, 1.993145608, 7.972582431, 2.989718412, 2
159.2168513, 28.8038864, 1.094902939, 3.986291215, 6.976009627, 0.996572804, 2
160.2134241, 32.79017762, 13.05377659, 2.989718412, 6.976009627, 0.996572804, 2
153.2374144, 26.8107408, 5.081194155, 1.993145608, 2.989718412, 2.989718412, 2
150.247696, 22.82444958, 4.084621351, 0.996572804, 6.976009627, 1.993145608, 2
164.1997153, 31.79360482, 10.06405817, 0.996572804, 5.979436823, 1.993145608, 2
168.1860065, 27.8073136, 4.084621351, 0.996572804, 5.979436823, 1.993145608, 2
159.2168513, 34.78332323, 15.04692219, 1.993145608, 4.982864019, 0.996572804, 2
154.2339872, 32.79017762, 5.081194155, 0.996572804, 2.989718412, 2.989718412, 2
154.2339872, 16.84501276, 5.081194155, 2.989718412, 0.996572804, 2.989718412, 2
157.2237056, 19.83473117, 1.094902939, 3.986291215, 1.993145608, 0.996572804, 2
165.1962881, 29.80045921, 1.094902939, 1.993145608, 3.986291215, 0.996572804, 2
148.2545504, 23.82102239, 3.088048547, 0.996572804, 5.979436823, 0.996572804, 2
154.2339872, 25.81416799, 9.06748537, 0.996572804, 5.979436823, 0.996572804, 2
156.2271328, 34.78332323, 14.05034939, 0.996572804, 2.989718412, 1.993145608, 2
166.1928609, 30.79703201, 10.06405817, 0.996572804, 2.989718412, 1.993145608, 2
154.2339872, 14.85186715, 3.088048547, 4.982864019, 0.996572804, 0.996572804, 2
151.2442688, 31.79360482, 3.088048547, 1.993145608, 1.993145608, 0.996572804, 2
152.2408416, 35.77989603, 6.077766959, 0.996572804, 1.993145608, 1.993145608, 2
153.2374144, 29.80045921, 1.094902939, 1.993145608, 1.993145608, 0.996572804, 2
159.2168513, 22.82444958, 10.06405817, 1.993145608, 0.996572804, 1.993145608, 2
160.2134241, 40.76276005, 6.077766959, 0.996572804, 0.996572804, 3.986291215, 2
164.1997153, 39.76618725, 4.084621351, 0.996572804, 1.993145608, 1.993145608, 2
168.1860065, 29.80045921, 7.074339762, 0.996572804, 3.986291215, 0.996572804, 2
150.247696, 24.81759519, 1.094902939, 0.996572804, 2.989718412, 0.996572804, 2
160.2134241, 16.84501276, 3.088048547, 2.989718412, 0.996572804, 0.996572804, 2
162.2065697, 32.79017762, 15.04692219, 0.996572804, 2.989718412, 0.996572804, 2
164.1997153, 20.83130397, 3.088048547, 0.996572804, 0.996572804, 2.989718412, 2
162.2065697, 36.77646884, 1.094902939, 2.989718412, 0.996572804, 0.996572804, 2
170.1791521, 26.8107408, 5.081194155, 0.996572804, 0.996572804, 2.989718412, 2
