xi, eta, zeta, a, b, c, particle index (in cuboids)
155.8030396, 19.73530011, 9.118877404, 7.034639629, 4.019794074, 5.024742592, 1
146.758503, 20.74024862, 11.12877444, 2.009897037, 3.014845555, 7.034639629, 1
150.778297, 25.76499122, 12.13372296, 4.019794074, 2.009897037, 4.019794074, 1
152.7881941, 19.73530011, 16.15351703, 4.019794074, 4.019794074, 2.009897037, 1
164.8475763, 14.71055751, 11.12877444, 2.009897037, 5.024742592, 3.014845555, 1
154.7980911, 18.73035159, 3.089186294, 8.039588147, 3.014845555, 1.004948518, 1
163.8426278, 25.76499122, 4.094134812, 5.024742592, 2.009897037, 2.009897037, 1
159.8228337, 13.70560899, 15.14856851, 3.014845555, 2.009897037, 3.014845555, 1
152.7881941, 24.7600427, 6.104031849, 6.02969111, 1.004948518, 2.009897037, 1
167.8624219, 12.70066048, 10.12382592, 1.004948518, 3.014845555, 4.019794074, 1
143.7436574, 19.73530011, 11.12877444, 1.004948518, 2.009897037, 5.024742592, 1
163.8426278, 21.74519714, 7.108980367, 1.004948518, 2.009897037, 5.024742592, 1
160.8277822, 14.71055751, 8.113928886, 2.009897037, 1.004948518, 4.019794074, 1
154.7980911, 14.71055751, 15.14856851, 2.009897037, 1.004948518, 3.014845555, 1
157.8129367, 24.7600427, 10.12382592, 3.014845555, 1.004948518, 2.009897037, 1
159.8228337, 16.72045455, 16.15351703, 3.014845555, 1.004948518, 2.009897037, 1
163.8426278, 16.72045455, 6.104031849, 1.004948518, 3.014845555, 2.009897037, 1
161.8327307, 25.76499122, 7.108980367, 3.014845555, 2.009897037, 1.004948518, 1
167.8624219, 8.680866403, 12.13372296, 3.014845555, 1.004948518, 2.009897037, 1
151.7832456, 18.73035159, 19.16836259, 5.024742592, 1.004948518, 1.004948518, 1
169.8723189, 10.69076344, 11.12877444, 1.004948518, 1.004948518, 5.024742592, 1
150.778297, 25.76499122, 17.15846555, 2.009897037, 2.009897037, 1.004948518, 1
160.8277822, 22.75014566, 2.084237775, 2.009897037, 1.004948518, 2.009897037, 1
165.8525248, 20.74024862, 8.113928886, 1.004948518, 1.004948518, 4.019794074, 1
162.8376793, 28.77983677, 5.09908333, 4.019794074, 1.004948518, 1.004948518, 1
166.8574733, 22.75014566, 4.094134812, 2.009897037, 1.004948518, 2.009897037, 1
145.7535545, 24.7600427, 13.13867148, 1.004948518, 1.004948518, 3.014845555, 1
159.8228337, 18.73035159, 15.14856851, 3.014845555, 1.004948518, 1.004948518, 1
165.8525248, 12.70066048, 7.108980367, 1.004948518, 3.014845555, 1.004948518, 1
165.8525248, 12.70066048, 15.14856851, 3.014845555, 1.004948518, 1.004948518, 1
169.8723189, 24.7600427, 3.089186294, 1.004948518, 3.014845555, 1.004948518, 1
145.7535545, 19.73530011, 3.089186294, 1.004948518, 2.009897037, 1.004948518, 1
147.7634515, 16.72045455, 6.104031849, 1.004948518, 1.004948518, 2.009897037, 1
149.7733485, 28.77983677, 14.14362, 1.004948518, 1.004948518, 2.009897037, 1
151.7832456, 14.71055751, 16.15351703, 1.004948518, 1.004948518, 2.009897037, 1
155.8030396, 12.70066048, 16.15351703, 1.004948518, 1.004948518, 2.009897037, 1
155.8030396, 15.71550603, 19.16836259, 1.004948518, 2.009897037, 1.004948518, 1
155.8030396, 24.7600427, 14.14362, 1.004948518, 1.004948518, 2.009897037, 1
155.8030396, 26.76993973, 8.113928886, 1.004948518, 1.004948518, 2.009897037, 1
156.8079882, 22.75014566, 3.089186294, 2.009897037, 1.004948518, 1.004948518, 1
161.8327307, 12.70066048, 10.12382592, 1.004948518, 1.004948518, 2.009897037, 1
161.8327307, 25.76499122, 9.118877404, 1.004948518, 2.009897037, 1.004948518, 1
167.8624219, 16.72045455, 10.12382592, 1.004948518, 1.004948518, 2.009897037, 1
169.8723189, 12.70066048, 10.12382592, 1.004948518, 1.004948518, 2.009897037, 1
143.7436574, 22.75014566, 7.108980367, 1.004948518, 1.004948518, 1.004948518, 1
145.7535545, 16.72045455, 5.09908333, 1.004948518, 1.004948518, 1.004948518, 1
147.7634515, 16.72045455, 13.13867148, 1.004948518, 1.004948518, 1.004948518, 1
147.7634515, 16.72045455, 17.15846555, 1.004948518, 1.004948518, 1.004948518, 1
147.7634515, 20.74024862, 19.16836259, 1.004948518, 1.004948518, 1.004948518, 1
147.7634515, 22.75014566, 3.089186294, 1.004948518, 1.004948518, 1.004948518, 1
149.7733485, 16.72045455, 19.16836259, 1.004948518, 1.004948518, 1.004948518, 1
