xi, eta, zeta, a, b, c, particle index (in cuboids)
92.1101614019003, 31.6904680486942, 6.07836258010308, 4.00230241499726, 7.00402922624529, 4.00230241499732, 1
86.1067077794044, 27.6881656336971, 6.07836258010308, 2.00115120749859, 5.00287801874663, 4.00230241499732, 1
93.1107370056496, 28.6887412374463, 11.0812405988497, 5.00287801874663, 4.00230241499733, 1.00057560374933, 1
90.1090101944018, 30.6898924449448, 1.07548456135643, 4.00230241499733, 4.00230241499726, 1.00057560374933, 1
97.1130394206472, 31.6904680486942, 7.07893818385241, 1.00057560374929, 5.00287801874663, 3.00172681124799, 1
83.1049809681563, 24.6864388224490, 5.07778697635375, 1.00057560374929, 4.00230241499733, 3.00172681124799, 1
91.1095857981511, 23.6858632186995, 6.07836258010308, 3.00172681124796, 1.00057560374929, 4.00230241499732, 1
87.1072833831538, 21.6847120112008, 5.07778697635375, 3.00172681124796, 1.00057560374929, 3.00172681124799, 1
87.1072833831538, 34.6921948599423, 5.07778697635375, 1.00057560374929, 2.00115120749867, 3.00172681124799, 1
95.1118882131484, 26.6875900299476, 13.0823918063484, 3.00172681124796, 2.00115120749867, 1.00057560374933, 1
94.1113126093991, 33.6916192561929, 11.0812405988497, 4.00230241499733, 1.00057560374929, 1.00057560374933, 1
97.1130394206472, 34.6921948599423, 3.07663576885509, 1.00057560374929, 4.00230241499726, 1.00057560374933, 1
89.1084345906523, 23.6858632186995, 11.0812405988497, 3.00172681124796, 1.00057560374929, 1.00057560374933, 1
95.1118882131484, 33.6916192561929, 1.07548456135643, 1.00057560374929, 3.00172681124796, 1.00057560374933, 1
99.1141906281456, 31.6904680486942, 9.08008939135107, 1.00057560374929, 3.00172681124796, 1.00057560374933, 1
81.1038297606579, 23.6858632186995, 4.07721137260442, 1.00057560374929, 1.00057560374929, 2.00115120749866, 1
83.1049809681563, 29.6893168411955, 4.07721137260442, 1.00057560374929, 1.00057560374929, 2.00115120749866, 1
85.1061321756550, 30.6898924449448, 1.07548456135643, 1.00057560374929, 2.00115120749867, 1.00057560374933, 1
85.1061321756550, 33.6916192561929, 4.07721137260442, 1.00057560374929, 1.00057560374929, 2.00115120749866, 1
